Designator,Mid X,Mid Y,Layer,Rotation
FIDUCIAL,1.4014,1.2714,TOP,0
FIDUCIAL,84.4014,1.2714,TOP,0
FIDUCIAL,84.2449,41.4995,TOP,0
J1,36.0015,31.5214,TOP,0
U1,34.7114,14.5814,TOP,270
R2,6.7914,23.495,TOP,90
R4,9.3314,23.495,TOP,90
R6,11.8714,23.495,TOP,90
R8,14.4114,23.495,TOP,90
R10,16.9514,23.495,TOP,90
R12,19.4914,23.495,TOP,90
R14,22.0314,23.495,TOP,90
R16,24.5714,23.495,TOP,90
R18,27.1115,23.495,TOP,90
R19,42.3515,23.495,TOP,90
R21,47.4315,23.495,TOP,90
R23,49.9715,23.495,TOP,90
R25,52.5115,23.495,TOP,90
R27,55.0515,23.495,TOP,90
R29,57.5915,23.495,TOP,90
R31,60.1315,23.495,TOP,90
R33,62.6715,23.495,TOP,90
R35,65.2115,23.495,TOP,90
C4,41.0815,17.526,TOP,90
C1,31.9629,21.3614,TOP,-180
C5,28.3815,13.5128,TOP,-90
C6,37.5001,8.0264,TOP,0
U2,57.3164,9.9314,TOP,0
R1,5.5214,22.4664,TOP,-90
R3,8.0614,22.4664,TOP,-90
R5,10.6014,22.4664,TOP,-90
R7,13.1414,22.4664,TOP,-90
R9,15.6814,22.4664,TOP,-90
R11,18.2214,22.4664,TOP,-90
R13,20.7614,22.4664,TOP,-90
R15,23.3014,22.4664,TOP,-90
R17,25.8415,22.4664,TOP,-90
R20,43.6215,22.4664,TOP,-90
R22,48.7015,22.4664,TOP,-90
R24,51.2415,22.4664,TOP,-90
R26,53.7815,22.4664,TOP,-90
R28,56.3215,22.4664,TOP,-90
R30,58.8615,22.4664,TOP,-90
R32,61.4015,22.4664,TOP,-90
R34,63.9415,22.4664,TOP,-90
R36,66.4815,22.4664,TOP,-90
JP1,48.0665,16.9164,TOP,-90
JP2,51.8765,16.9164,TOP,-90
C2,13.1668,16.7894,TOP,-180
XO1,27.4925,17.4244,TOP,-90
C3,24.8254,17.4498,TOP,-90
C9,67.1165,8.4964,TOP,-90
C8,65.2115,8.4964,TOP,90
J2,79.1815,30.2514,TOP,0
D2,76.0065,19.4564,TOP,90
D1,70.9265,19.4564,TOP,90
F1,70.9265,26.2382,TOP,90
J4,45.0947,6.7564,TOP,0
J5,74.8063,3.3844,TOP,0
D3,74.4825,10.1654,TOP,90
D6,66.9514,1.6764,TOP,0
D5,60.6014,1.6764,TOP,0
D4,54.4165,1.6764,TOP,0
R39,72.3613,13.1064,TOP,0
R38,72.3613,14.6304,TOP,0
R37,68.4243,14.6304,TOP,0
R43,58.2265,2.4764,TOP,90
R42,51.8765,2.4764,TOP,90
R44,64.5765,2.4764,TOP,90
C7,63.3065,8.4328,TOP,-90
C10,69.0215,8.4328,TOP,90
SW1,28.2773,4.5864,TOP,0
SW2,34.2463,4.5864,TOP,180
R40,27.6573,8.0264,TOP,0
R41,33.6263,8.0264,TOP,180
J3,15.35,9.55,TOP,0
J6,47.1932,1.7526,TOP,-180
