Designator,Mid X,Mid Y,Layer,Rotation
FIDUCIAL,1.4014,1.2714,TOP,0
FIDUCIAL,84.4014,1.2714,TOP,0
FIDUCIAL,84.2449,41.4995,TOP,0
J1,36.0015,31.5214,TOP,0
U1,34.7114,14.5814,TOP,270
R2,6.7914,23.495,TOP,90
R4,9.3314,23.495,TOP,90
R6,11.8714,23.495,TOP,90
R8,14.4114,23.495,TOP,90
R10,16.9514,23.495,TOP,90
R12,19.4914,23.495,TOP,90
R14,22.0314,23.495,TOP,90
R16,24.5714,23.495,TOP,90
R18,27.1115,23.495,TOP,90
R22,42.3515,23.495,TOP,90
R24,47.4315,23.495,TOP,90
R26,49.9715,23.495,TOP,90
R29,52.5115,23.495,TOP,90
R31,55.0515,23.495,TOP,90
R33,57.5915,23.495,TOP,90
R36,60.1315,23.495,TOP,90
R38,62.6715,23.495,TOP,90
R41,65.2115,23.495,TOP,90
C6,41.0815,17.526,TOP,90
C4,31.9629,21.3614,TOP,-180
C3,28.3815,13.5128,TOP,-90
C5,37.5001,8.0264,TOP,0
U2,57.3164,9.9314,TOP,0
R1,5.5214,22.4664,TOP,-90
R3,8.0614,22.4664,TOP,-90
R5,10.6014,22.4664,TOP,-90
R7,13.1414,22.4664,TOP,-90
R9,15.6814,22.4664,TOP,-90
R11,18.2214,22.4664,TOP,-90
R13,20.7614,22.4664,TOP,-90
R15,23.3014,22.4664,TOP,-90
R17,25.8415,22.4664,TOP,-90
R23,43.6215,22.4664,TOP,-90
R25,48.7015,22.4664,TOP,-90
R27,51.2415,22.4664,TOP,-90
R30,53.7815,22.4664,TOP,-90
R32,56.3215,22.4664,TOP,-90
R34,58.8615,22.4664,TOP,-90
R37,61.4015,22.4664,TOP,-90
R39,63.9415,22.4664,TOP,-90
R42,66.4815,22.4664,TOP,-90
JP1,48.0665,16.9164,TOP,-90
JP2,51.8765,16.9164,TOP,-90
C1,13.1668,16.7894,TOP,-180
XO1,27.4925,17.4244,TOP,-90
C2,24.8254,17.4498,TOP,-90
C9,67.1165,8.4964,TOP,-90
C8,65.2115,8.4964,TOP,90
J5,79.1815,30.2514,TOP,0
D5,76.0065,19.4564,TOP,90
D4,70.9265,19.4564,TOP,90
F1,70.9265,26.2382,TOP,90
J3,47.0946,6.7564,TOP,0
J6,74.8063,3.3844,TOP,0
D6,74.4825,10.1654,TOP,270
D3,66.9514,1.6764,TOP,0
D2,60.6014,1.6764,TOP,0
D1,54.4165,1.6764,TOP,0
R45,72.3613,13.1064,TOP,0
R44,72.3613,14.6304,TOP,0
R43,68.4243,14.6304,TOP,0
R35,58.2265,2.4764,TOP,90
R28,51.8765,2.4764,TOP,90
R40,64.5765,2.4764,TOP,90
C7,63.3065,8.4328,TOP,-90
C10,69.0215,8.4328,TOP,90
SW1,27.874,4.65501,TOP,270
SW2,32.7,4.65501,TOP,270
SW3,39.243,4.699,TOP,-90
R19,28.0289,8.255,TOP,180
R20,32.5501,8.255,TOP,180
J2,15.35,9.55,TOP,0
J4,47.1932,1.7526,TOP,-180
R21,35.941,3.975,TOP,-90
